"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 22 10:12:25 GMT 2022","Sun May 22 10:12:25 GMT 2022","41","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test4","test4",""
"passed","Sun May 22 10:12:25 GMT 2022","Sun May 22 10:12:25 GMT 2022","143","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test3","test3",""
"passed","Sun May 22 10:12:25 GMT 2022","Sun May 22 10:12:25 GMT 2022","339","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test1","test1",""
"passed","Sun May 22 10:12:25 GMT 2022","Sun May 22 10:12:25 GMT 2022","71","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test2","test2",""
"passed","Sun May 22 10:12:34 GMT 2022","Sun May 22 10:12:34 GMT 2022","35","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test6","test6",""
"passed","Sun May 22 10:12:25 GMT 2022","Sun May 22 10:12:34 GMT 2022","8210","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test5","test5",""
