"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 21 21:47:11 GMT 2022","Sat May 21 21:47:11 GMT 2022","68","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test2","test2",""
"passed","Sat May 21 21:47:10 GMT 2022","Sat May 21 21:47:11 GMT 2022","264","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test1","test1",""
"passed","Sat May 21 21:47:11 GMT 2022","Sat May 21 21:47:18 GMT 2022","7280","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test5","test5",""
"passed","Sat May 21 21:47:18 GMT 2022","Sat May 21 21:47:18 GMT 2022","41","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test6","test6",""
"passed","Sat May 21 21:47:11 GMT 2022","Sat May 21 21:47:11 GMT 2022","45","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test4","test4",""
"passed","Sat May 21 21:47:11 GMT 2022","Sat May 21 21:47:11 GMT 2022","138","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test3","test3",""
