"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 21 22:00:24 GMT 2022","Sat May 21 22:00:27 GMT 2022","3767","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test5","test5",""
"passed","Sat May 21 22:00:23 GMT 2022","Sat May 21 22:00:24 GMT 2022","53","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test4","test4",""
"passed","Sat May 21 22:00:23 GMT 2022","Sat May 21 22:00:23 GMT 2022","180","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test3","test3",""
"passed","Sat May 21 22:00:23 GMT 2022","Sat May 21 22:00:23 GMT 2022","92","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test2","test2",""
"passed","Sat May 21 22:00:27 GMT 2022","Sat May 21 22:00:27 GMT 2022","39","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test6","test6",""
"passed","Sat May 21 22:00:22 GMT 2022","Sat May 21 22:00:23 GMT 2022","576","","com.berezenskyi.ruslan.SeleniumTest","","com.berezenskyi.ruslan.SeleniumTest","test1","test1",""
